"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"內湖區","湖興里",3106076,8169,9,2490831,13051,12,2484103,11888,12,907.666666666667,1087.58333333333,990.666666666667
"內湖區","湖濱里",4571248,20503,7,3910802,28223,8,4031594,29187,11,2929,3527.875,2653.36363636364
"內湖區","紫星里",3126860,3021081,2870,2538043,2937188,2867,2579993,3351902,2866,1052.64146341463,1024.48133937914,1169.54012561061
"內湖區","紫陽里",3734646,26855,7,3185346,26314,10,3117405,24073,12,3836.42857142857,2631.4,2006.08333333333
"內湖區","紫雲里",2119923,2087799,2062,1769350,2011978,2064,1748131,2233119,2056,1012.51163918526,974.795542635659,1086.14737354086
"內湖區","週美里",5086235,8332,7,4937504,11242,11,4811092,21815,15,1190.28571428571,1022,1454.33333333333
"內湖區","瑞光里",1811752,1476,1,1443065,874,1,1425463,9156,6,1476,874,1526
"內湖區","葫洲里",3946462,2532291,2257,3570438,2490066,2242,3252130,2763783,2507,1121.97208684094,1110.64495985727,1102.42640606302
"內湖區","碧山里",2835913,2135483,2516,2332114,1985845,2512,2308204,2180201,2601,848.761128775835,790.543391719745,838.216455209535
"文山區","木柵里",4713282,12394,6,4210655,21614,10,4276861,17108,8,2065.66666666667,2161.4,2138.5
"文山區","忠順里",1984322,7003,5,1781075,14477,6,1878435,15433,4,1400.6,2412.83333333333,3858.25
"文山區","明義里",1015557,10376,2,874007,15149,4,919740,14716,6,5188,3787.25,2452.66666666667
"文山區","明興里",2681249,2494,1,2099319,7864,3,2052336,9279,7,2494,2621.33333333333,1325.57142857143
"文山區","指南里",1584447,11335,7,1253201,12414,7,1300511,10466,17,1619.28571428571,1773.42857142857,615.647058823529
"文山區","政大里",4667440,15572,8,4198188,30286,13,4134397,35909,10,1946.5,2329.69230769231,3590.9
"文山區","景仁里",2404419,1596008,1596,2146067,1508307,1595,2271261,1694574,2793,1000.00501253133,945.647021943574,606.721804511278
"文山區","景行里",3014175,2596281,2824,2562303,2428233,2821,2664309,2640961,2512,919.362960339943,860.770294221907,1051.33797770701
"文山區","景東里",2737128,2129333,2518,2252452,2083311,2515,2206626,2247977,1766,845.644559173948,828.354274353877,1272.9201585504
"文山區","景美里",2245397,1799552,1766,1860340,1723822,1767,1820278,1911917,1949,1018.99886749717,975.564233163554,980.973319651103
"文山區","景華里",2318317,1914880,1957,1910283,1847007,1953,1846029,2077352,2099,978.47726111395,945.728110599078,989.686517389233
"文山區","華興里",4280191,14769,5,4160625,22105,7,3631927,30258,5,2953.8,3157.85714285714,6051.6
"文山區","萬年里",2605556,2078531,2267,2505512,1959628,2262,2401197,2252465,1814,916.86413762682,866.325375773652,1241.71168687982
"文山區","萬有里",2498517,1789415,1822,2121458,1753143,1822,2077370,1966075,1268,982.115806805708,962.208013172338,1550.53233438486
"文山區","萬芳里",3122822,17971,3,2465708,24473,4,2512057,24811,16,5990.33333333333,6118.25,1550.6875
"文山區","萬盛里",1988603,1849269,1966,1621953,1811965,1967,1554100,1965577,1719,940.62512716175,921.18200305033,1143.44211751018
"文山區","萬祥里",1685499,1657352,1722,1395361,1617137,1719,1380172,1835030,2558,962.457607433217,940.742873763816,717.369038311181
"文山區","萬興里",4098419,14846,7,3586749,12930,7,3524435,20090,4,2120.85714285714,1847.14285714286,5022.5
"文山區","試院里",3153236,4397,6,2727208,3950,5,2732728,2450,2,732.833333333333,790,1225
"文山區","樟文里",2190059,3202,2,1765038,4271,2,1815670,3798,2,1601,2135.5,1899
"文山區","樟林里",3261423,4340,3,2582719,4553,3,2491481,2904,7,1446.66666666667,1517.66666666667,414.857142857143
"文山區","樟新里",2656586,3398,4,2216443,6973,5,2149937,12736,3,849.5,1394.6,4245.33333333333
"文山區","興光里",1484179,870059,877,1205982,836782,876,1395482,918074,2450,992.085518814139,955.230593607306,374.724081632653
"文山區","興安里",3225800,2399012,2454,2757293,2253534,2448,2721358,2452399,1847,977.59250203749,920.561274509804,1327.77422847861
"文山區","興邦里",2051880,1711997,1847,1676501,1656404,1847,1698513,1779002,3333,926.90687601516,896.807796426638,533.75397539754
"文山區","興旺里",3152867,2850383,3338,2534113,2746103,3337,2540266,2967289,2479,853.919412822049,822.925681750075,1196.97014925373
"文山區","興泰里",1666991,1645276,1685,1474282,1597395,1684,1418075,1718153,1717,976.424925816024,948.571852731591,1000.67152009319
"文山區","興得里",2084061,1798957,1720,1688698,1684287,1717,1742598,1888347,2021,1045.90523255814,980.947582993594,934.362691736764
"文山區","興業里",2255470,2007054,2024,1898115,1881394,2022,1769262,2130670,1832,991.627470355731,930.461918892186,1163.02947598253
"文山區","興福里",2115024,1768190,1835,1683242,1641053,1830,1693666,1808917,1709,963.591280653951,896.750273224044,1058.46518431831
"文山區","興豐里",2309652,1817272,1708,2002878,1733820,1708,1990364,1869555,2642,1063.97658079625,1015.11709601874,707.628690386071
"北投區","一德里",2676428,2616545,2647,2103791,2333983,2647,2113944,2712553,1874,988.494522100491,881.7465054779,1447.46691568837
"北投區","八仙里",2117106,2131697,1882,1714791,2056409,1875,1696924,2281858,465,1132.67640807651,1096.75146666667,4907.22150537634
"北投區","中央里",3222082,3182735,3218,2701963,3027251,3214,2628088,3467260,1396,989.041330018645,941.895146235221,2483.7106017192
"北投區","中庸里",1249739,419,4,991066,2194,11,942586,1851,3,104.75,199.454545454545,617
"北投區","文林里",1831055,1890208,1632,1574326,1756803,1630,1676192,2046679,3751,1158.21568627451,1077.79325153374,545.63556384964
"北投區","永和里",5096972,4172277,3756,4472544,4094457,3755,4303709,4601788,1643,1110.82987220447,1090.40133155792,2800.84479610469
"北投區","永明里",2035358,1830069,1646,1813448,1772512,1645,1734909,1909123,3465,1111.82806804374,1077.51489361702,550.973448773449
"北投區","永欣里",6281308,3440187,3472,5741041,3287204,3467,6055132,3739003,1974,990.837269585253,948.140755696568,1894.1251266464
"北投區","石牌里",1962609,2178805,1977,1565579,2015138,1973,1600740,2321308,2975,1102.07637835104,1021.35732387228,780.271596638655
"北投區","立農里",3214971,2939962,2979,2685976,2897912,2975,2784970,3254568,1665,986.895602551192,974.088067226891,1954.6954954955
"北投區","立賢里",1929829,1992591,1669,1552351,1881249,1668,1594684,2065474,2042,1193.883163571,1127.84712230216,1011.49559255632
"北投區","吉利里",2563204,2014168,2044,2149713,1937248,2042,2061881,2117461,1546,985.405088062622,948.701273261508,1369.63842173351
"北投區","吉慶里",1975853,1731554,1573,1666240,1638932,1548,1648946,1808202,1057,1100.7972027972,1058.74160206718,1710.69252601703
"北投區","林泉里",1593202,3398,3,1081071,2681,2,918249,3214,3,1132.66666666667,1340.5,1071.33333333333
"北投區","振華里",3166187,3115255,2678,2580184,3010513,2676,2541501,3357531,2232,1163.27669902913,1125.00485799701,1504.27016129032
"北投區","桃源里",2059859,1963231,2235,1587471,1865241,2236,1605706,2161883,2930,878.403131991052,834.186493738819,737.844027303754
"北投區","清江里",2697612,2870427,2946,2113675,2799108,2940,2203932,3164193,1340,974.347250509165,952.077551020408,2361.33805970149
"北投區","智仁里",1755641,5255,2,1352107,4939,2,1382149,6736,1,2627.5,2469.5,6736
"北投區","裕民里",3712093,3202885,2844,3307013,3168738,2841,3248797,3655754,2284,1126.19022503516,1115.3600844773,1600.59281961471
"北投區","榮光里",2502501,2462601,2312,1996737,2308594,2309,1976589,2596199,3159,1065.13884083045,999.82416630576,821.842038619816
"北投區","榮華里",4404813,3604738,3171,4388272,3530606,3170,4020018,4089523,2232,1136.78271838537,1113.75583596215,1832.22356630824
"北投區","福興里",2626172,2383316,2261,2212115,2260368,2236,2192908,2602466,1886,1054.09818664308,1010.89803220036,1379.88653234358
"北投區","稻香里",1629015,1703718,1930,1279988,1586256,1888,1298588,1799862,1382,882.755440414508,840.177966101695,1302.36034732272
"北投區","豐年里",1261909,1309752,1383,981619,1196361,1384,995362,1343368,3932,947.036876355748,864.422687861272,341.6500508647
"北投區","關渡里",3937444,3881989,3965,3190932,3690132,3947,3246368,4186275,1128,979.064060529634,934.920699265265,3711.23670212766
"松山區","三民里",3559026,1240370,1131,3066884,1135166,1131,2944426,1325043,1146,1096.70203359859,1003.68346595933,1156.23298429319
"松山區","中正里",6661394,1649887,1266,7153080,1434994,1155,6346620,1598834,1501,1303.22827804107,1242.41904761905,1065.17921385743
"松山區","中崙里",2191766,1618457,1495,1782422,1562779,1504,1908508,1684482,1090,1082.57993311037,1039.08178191489,1545.39633027523
"松山區","中華里",6236022,1434587,1107,8166925,1411914,1105,6577126,1552714,1351,1295.92321589883,1277.75022624434,1149.30717986677
"松山區","民福里",2600531,12831,6,2210642,11193,7,2209825,9837,12,2138.5,1599,819.75
"松山區","吉祥里",4319355,3720847,3194,3595760,3640971,3192,3575722,3985806,3523,1164.94896681277,1140.65507518797,1131.36701674709
"松山區","安平里",3084246,3774526,3539,2635541,3648661,3531,2562196,4113276,2821,1066.55156823962,1033.3222883036,1458.09145693017
"松山區","自強里",4605751,3523249,3016,3945683,3373348,3016,3843099,3482250,2661,1168.18600795756,1118.48408488064,1308.62457722661
"松山區","松基里",3459900,2049283,1494,3623877,1902629,1474,2733042,2088833,1057,1371.67536813922,1290.79308005427,1976.19016083254
"松山區","美仁里",1832648,1319732,1059,1625792,1307177,1057,1566381,1451533,941,1246.20585457979,1236.68590350047,1542.54303931987
"松山區","莊敬里",1746409,1001036,936,1401634,991562,939,1361477,1114330,1979,1069.48290598291,1055.97657082002,563.077311773623
"松山區","富錦里",2672913,6757,5,2431746,8381,3,2445307,8255,4,1351.4,2793.66666666667,2063.75
"松山區","復盛里",2599065,2495414,2280,2163754,2418057,2276,2063085,2779999,2335,1094.4798245614,1062.41520210896,1190.57773019272
"松山區","復源里",1582604,2748,1,1487407,5017,2,1528649,5490,11,2748,2508.5,499.090909090909
"松山區","慈祐里",2393918,3227473,3191,2014828,2985035,3171,1978219,3235562,1532,1011.42995926042,941.354462314727,2111.98563968668
"松山區","新東里",2119040,1606882,1532,1698310,1504143,1534,1732442,1750288,1177,1048.87859007833,980.536505867014,1487.07561597281
"松山區","新益里",1833028,1305195,1177,1503442,1282074,1178,1514178,1427504,3176,1108.91673746814,1088.3480475382,449.465994962217
"松山區","新聚里",3448491,3729857,3192,3019684,3476403,3185,2846285,3866980,817,1168.50156641604,1091.49230769231,4733.14565483476
"松山區","龍田里",5853077,2611848,2359,5106926,2530539,2358,5014625,2849350,1765,1107.18440016956,1073.17175572519,1614.36260623229
"松山區","鵬程里",2281296,2033977,1815,1957311,1925106,1768,1975239,2093520,3385,1120.64848484848,1088.86085972851,618.469719350074
"信義區","三張里",4445529,4191419,3389,4019577,4064888,3383,3971858,4490296,2110,1236.77161404544,1201.56310966598,2128.10236966825
"信義區","大仁里",1177399,6780,2,940562,6582,3,896743,8042,6,3390,2194,1340.33333333333
"信義區","大道里",2345979,14436,5,1960280,18067,6,1909860,13811,5,2887.2,3011.16666666667,2762.2
"信義區","中行里",2473249,8843,4,1959131,8520,4,1908937,9051,4,2210.75,2130,2262.75
"信義區","五常里",1352083,1497503,1362,1153511,1382074,1347,1173977,1517512,2749,1099.48825256975,1026.03860430586,552.023281193161
"信義區","正和里",2400533,1957001,1710,2089615,1889697,1711,2011693,2056141,1266,1144.44502923977,1104.44009351257,1624.12401263823
"信義區","永春里",1625566,5392,3,1371022,6753,4,1397702,11579,34,1797.33333333333,1688.25,340.558823529412
"信義區","松光里",1953822,17993,5,1607837,16996,6,1568798,16911,4,3598.6,2832.66666666667,4227.75
"信義區","松隆里",565624,11080,3,427084,10820,4,438247,12520,6,3693.33333333333,2705,2086.66666666667
"信義區","國業里",3215341,12374,4,2779154,13593,7,2721790,12879,3,3093.5,1941.85714285714,4293
"信義區","敦厚里",2387902,6690,4,1993541,12105,7,1949440,13736,7,1672.5,1729.28571428571,1962.28571428571
"信義區","景新里",4254780,3191581,2125,3760055,3083758,2123,3712460,3337278,383,1501.92047058824,1452.54733867169,8713.51958224543
"信義區","新仁里",1680988,3118,3,1406194,3102,2,1705815,3185,2,1039.33333333333,1551,1592.5
"信義區","嘉興里",1184213,3918,1,1119067,3900,1,1005898,2056,5,3918,3900,411.2
"信義區","廣居里",3601197,18018,3,3083160,18144,3,2977809,15745,8,6006,6048,1968.125
"信義區","黎平里",2712582,23052,6,2229924,11397,7,2177618,11225,3,3842,1628.14285714286,3741.66666666667
"信義區","雙和里",2726357,906285,889,2212366,859346,890,2191538,934420,2205,1019.44319460067,965.557303370786,423.773242630385
"南港區","中南里",1016827,1103218,1209,774332,1066093,1212,742019,1151789,3056,912.504549214227,879.614686468647,376.894306282723
"南港區","仁福里",1965112,5377,2,1562480,4944,2,1558456,3416,1,2688.5,2472,3416
"南港區","百福里",1682251,1052,1,1306957,983,1,1283428,1487,3,1052,983,495.666666666667
"南港區","西新里",1616325,1365,1,1327153,5620,3,1229365,6204,2,1365,1873.33333333333,3102
"南港區","東新里",2490917,11597,4,1932294,7832,4,1876341,11088,8,2899.25,1958,1386
"南港區","南港里",2209438,38685,6,1852085,27402,8,1965713,25762,11,6447.5,3425.25,2342
"南港區","新光里",1548465,1411070,1465,1370992,1290224,1439,1341654,1441490,1230,963.18771331058,896.611535788742,1171.94308943089
"南港區","萬福里",1908223,19573,5,1570444,14843,4,1527927,19406,5,3914.6,3710.75,3881.2
"南港區","聯成里",1671611,3849,3,1267717,4269,3,1279142,5513,3,1283,1423,1837.66666666667
"萬華區","仁德里",2051419,1485354,1413,1743839,1444429,1409,1745497,1580393,2085,1051.2059447983,1025.14478353442,757.982254196643
"萬華區","日祥里",1488212,1853230,2084,1237688,1819572,2084,1245776,2009587,1282,889.265834932821,873.115163147793,1567.54056162246
"萬華區","日善里",998940,1322131,1285,776050,1286442,1282,785069,1397997,1418,1028.89571984436,1003.46489859594,985.893511988716
"萬華區","全德里",1466668,1461901,1423,1198064,1425872,1422,1199253,1561071,678,1027.33731553057,1002.7229254571,2302.46460176991
"萬華區","西門里",1320388,703178,687,1099838,698258,680,1073358,668903,826,1023.54876273654,1026.85,809.809927360775
"萬華區","孝德里",803187,811282,831,629142,804431,830,627551,878266,2640,976.271961492178,969.193975903615,332.676515151515
"萬華區","和平里",1567479,2520225,2655,1163721,2345559,2648,1140622,2636780,2430,949.237288135593,885.785120845921,1085.09465020576
"萬華區","忠貞里",1048373,1559,3,802657,1590,4,763739,1723,4,519.666666666667,397.5,430.75
"萬華區","青山里",1385439,2310873,1973,1131730,2272435,1961,1162528,2415167,1272,1171.24835276229,1158.81438041815,1898.71619496855
"萬華區","保德里",1232554,1241740,1275,1047488,1229895,1270,1035579,1345876,778,973.913725490196,968.42125984252,1729.9177377892
"萬華區","凌霄里",865513,8112,1,651830,8115,1,643399,6658,20,8112,8115,332.9
"萬華區","菜園里",2115133,1309849,1334,1653256,1261177,1330,1562217,1405130,487,981.895802098951,948.253383458647,2885.2772073922
"萬華區","新和里",2733349,7253,5,2151160,9304,5,2095617,10476,10,1450.6,1860.8,1047.6
"萬華區","壽德里",1524587,1785642,1744,1256305,1758935,1746,1160246,1955091,1403,1023.87729357798,1007.40836197022,1393.50748396294
"萬華區","榮德里",818531,1351756,1401,571447,1295605,1402,576807,1423592,3323,964.850820842256,924.111982881598,428.405657538369
"萬華區","福星里",1700303,2703147,3341,1340957,2620368,3328,1311418,2706339,866,809.083208620174,787.370192307692,3125.10277136259
"萬華區","錦德里",1366122,17699,4,1027760,19278,4,1013427,15367,16,4424.75,4819.5,960.4375
"萬華區","雙園里",1457689,15539,15,1245003,12121,15,1171373,12144,2,1035.93333333333,808.066666666667,6072
