"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"士林區","舊佳里",2644901,71949,12,2237213,76059,13,2231551,69874,14,5995.75,5850.69230769231,4991
"士林區","蘭雅里",4511528,3708021,3346,3964276,3529761,3334,3854486,4111787,3326,1108.19515839809,1058.71655668866,1236.25586289838
"士林區","蘭興里",3281604,2982151,2581,2695540,2746192,2577,2682966,3176524,2579,1155.42464161178,1065.65463717501,1231.68825126018
"大同區","大有里",1733370,2023367,1968,1393340,1912892,1960,1412948,2057080,1958,1028.13363821138,975.965306122449,1050.6026557712
"大同區","民權里",2624403,12884,13,2242024,13520,10,2142456,15228,11,991.076923076923,1352,1384.36363636364
"大同區","永樂里",2769003,27171,13,2317956,20998,15,2273297,25409,17,2090.07692307692,1399.86666666667,1494.64705882353
"大同區","玉泉里",1214073,402161,461,1194262,389213,462,1032578,427128,457,872.366594360087,842.452380952381,934.634573304158
"大同區","光能里",1918420,14105,6,1584448,12284,5,1632218,3932,4,2350.83333333333,2456.8,983
"大同區","老師里",1611169,6362,3,1264210,3500,8,1311910,4509,8,2120.66666666667,437.5,563.625
"大同區","至聖里",2716052,1481192,1373,2295100,1406522,1375,2260274,1536337,1378,1078.79970866715,1022.92509090909,1114.90348330914
"大同區","延平里",1400095,1747981,1908,1101994,1684251,1909,1079649,1818409,1908,916.132599580713,882.268727082242,953.044549266247
"大同區","保安里",1746331,33356,8,2020485,33420,8,1632842,27954,7,4169.5,4177.5,3993.42857142857
"大同區","南芳里",1339824,1584882,1558,1040845,1511244,1545,1043050,1629662,1540,1017.2541720154,978.15145631068,1058.22207792208
"大同區","建功里",1887316,1219838,1400,1656959,1152764,1392,1574479,1222482,1395,871.312857142857,828.135057471264,876.331182795699
"大同區","建明里",1338101,2150707,2426,1131088,2106080,2419,1241419,2110140,2406,886.523907666941,870.640760644895,877.032418952618
"大同區","建泰里",1584898,1882653,1744,1389613,1775844,1729,1363147,1919453,1689,1079.50286697248,1027.09311740891,1136.44345766726
"大同區","星明里",2488461,650221,624,2265278,614746,624,2248448,659090,623,1042.02083333333,985.169871794872,1057.92937399679
"大同區","重慶里",2385704,19685,5,1985538,19432,5,2134302,19987,6,3937,3886.4,3331.16666666667
"大同區","國順里",579029,845719,907,406940,774308,852,411597,836126,852,932.435501653804,908.81220657277,981.368544600939
"大同區","國慶里",1830288,649838,589,1551251,612011,587,1583274,662651,584,1103.29032258065,1042.60817717206,1134.67636986301
"大同區","揚雅里",1144205,1340001,1402,978164,1272582,1397,964854,1390676,1400,955.77817403709,910.939155332856,993.34
"大同區","斯文里",1650872,1916212,1930,1376874,1806269,1927,1228182,1930569,1926,992.855958549223,937.34769071095,1002.3722741433
"大同區","景星里",626610,939347,1023,475511,878936,1021,469672,938020,1007,918.227761485826,860.857982370225,931.49950347567
"大同區","朝陽里",1834549,4246,3,1669067,10378,5,1587733,13081,8,1415.33333333333,2075.6,1635.125
"大同區","隆和里",980551,1217438,1165,817199,1163544,1160,1013770,1247190,1156,1045.01115879828,1003.05517241379,1078.88408304498
"大同區","蓬萊里",2052716,1983270,1987,1745555,1883108,1976,1701049,2052904,1971,998.122798188223,952.98987854251,1041.55454084221
"大同區","鄰江里",1890362,145062,126,1570926,136281,128,1412375,141910,128,1151.28571428571,1064.6953125,1108.671875
"大同區","雙連里",3071335,603097,563,2489027,566937,558,2803663,580633,548,1071.22024866785,1016.01612903226,1059.54927007299
"大安區","大學里",4705534,3544161,3130,4250712,3390840,3114,4205770,3857618,3110,1132.31980830671,1088.90173410405,1240.39163987138
"大安區","仁慈里",5964054,2349137,1760,5920888,2247333,1758,5964049,2433356,1757,1334.73693181818,1278.34641638225,1384.94934547524
"大安區","仁愛里",4078959,3636031,2050,3301630,3421132,2035,3341788,3587398,2025,1773.67365853659,1681.14594594595,1771.55456790123
"大安區","古風里",3330716,606315,536,2241634,559403,535,2345754,683847,534,1131.18470149254,1045.61308411215,1280.61235955056
"大安區","古莊里",3977293,33085,13,3675939,33611,12,3679256,33362,14,2545,2800.91666666667,2383
